frame,second,predicted_class_max,pushup,abworkout,squat,pullup,run,jump,rest,totalcounter
569,23.708333333333332,pullup,5,2,0,1,1,0,0,9
571,23.791666666666668,pullup,5,2,0,1,1,0,0,9
573,23.875,pullup,5,2,0,1,1,0,0,9
575,23.958333333333332,pullup,5,2,0,1,1,0,0,9
577,24.041666666666668,pullup,5,2,0,1,1,0,0,9
579,24.125,pullup,5,2,0,1,1,0,0,9
581,24.208333333333332,pullup,5,2,0,1,1,0,0,9
583,24.291666666666668,pullup,5,2,0,1,1,0,0,9
585,24.375,pullup,5,2,0,1,1,0,0,9
587,24.458333333333332,pullup,5,2,0,1,1,0,0,9
589,24.541666666666668,pullup,5,2,0,1,1,0,0,9
591,24.625,pullup,5,2,0,1,1,0,0,9
593,24.708333333333332,pullup,5,2,0,1,1,0,0,9
595,24.791666666666668,pullup,5,2,0,1,1,0,0,9
597,24.875,pullup,5,2,0,1,1,0,0,9
599,24.958333333333332,pullup,5,2,0,1,1,0,0,9
601,25.041666666666668,pullup,5,2,0,1,1,0,0,9
603,25.125,squat,5,2,1,1,1,0,0,10
605,25.208333333333332,squat,5,2,1,1,1,0,0,10
607,25.291666666666668,squat,5,2,1,1,1,0,0,10
609,25.375,squat,5,2,1,1,1,0,0,10
611,25.458333333333332,squat,5,2,1,1,1,0,0,10
613,25.541666666666668,squat,5,2,1,1,1,0,0,10
615,25.625,squat,5,2,1,1,1,0,0,10
617,25.708333333333332,squat,5,2,1,1,1,0,0,10
619,25.791666666666668,squat,5,2,1,1,1,0,0,10
621,25.875,squat,5,2,1,1,1,0,0,10
623,25.958333333333332,squat,5,2,1,1,1,0,0,10
625,26.041666666666668,squat,5,2,1,1,1,0,0,10
627,26.125,squat,5,2,1,1,1,0,0,10
629,26.208333333333332,squat,5,2,1,1,1,0,0,10
631,26.291666666666668,squat,5,2,1,1,1,0,0,10
633,26.375,squat,5,2,1,1,1,0,0,10
635,26.458333333333332,squat,5,2,1,1,1,0,0,10
637,26.541666666666668,squat,5,2,1,1,1,0,0,10
639,26.625,squat,5,2,1,1,1,0,0,10
641,26.708333333333332,squat,5,2,1,1,1,0,0,10
643,26.791666666666668,squat,5,2,1,1,1,0,0,10
645,26.875,squat,5,2,1,1,1,0,0,10
647,26.958333333333332,squat,5,2,1,1,1,0,0,10
649,27.041666666666668,squat,5,2,1,1,1,0,0,10
651,27.125,squat,5,2,1,1,1,0,0,10
653,27.208333333333332,squat,5,2,1,1,1,0,0,10
655,27.291666666666668,squat,5,2,1,1,1,0,0,10
657,27.375,squat,5,2,1,1,1,0,0,10
659,27.458333333333332,squat,5,2,1,1,1,0,0,10
661,27.541666666666668,squat,5,2,1,1,1,0,0,10
663,27.625,pullup,5,2,1,2,1,0,0,11
665,27.708333333333332,pullup,5,2,1,2,1,0,0,11
667,27.791666666666668,pullup,5,2,1,2,1,0,0,11
669,27.875,pullup,5,2,1,2,1,0,0,11
671,27.958333333333332,pullup,5,2,1,2,1,0,0,11
673,28.041666666666668,pullup,5,2,1,2,1,0,0,11
675,28.125,pullup,5,2,1,2,1,0,0,11
677,28.208333333333332,pullup,5,2,1,2,1,0,0,11
679,28.291666666666668,pullup,5,2,1,2,1,0,0,11
681,28.375,pullup,5,2,1,2,1,0,0,11
683,28.458333333333332,pullup,5,2,1,2,1,0,0,11
685,28.541666666666668,pullup,5,2,1,2,1,0,0,11
687,28.625,pullup,5,2,1,2,1,0,0,11
689,28.708333333333332,pullup,5,2,1,2,1,0,0,11
691,28.791666666666668,pullup,5,2,1,2,1,0,0,11
693,28.875,pullup,5,2,1,2,1,0,0,11
695,28.958333333333332,pullup,5,2,1,2,1,0,0,11
697,29.041666666666668,pullup,5,2,1,2,1,0,0,11
699,29.125,pullup,5,2,1,2,1,0,0,11
